dish_id,dish_name,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,source,confidence_score,normalized_name,average_serving_size
1,Instant coffee,23.16,0.64,0.75,3.65,indb,0.9,instant coffee,1.8
2,Mayonnaise vegetable dip,241.27,3.01,23.44,4.8,indb,0.9,mayonnaise vegetable dip,30.0
3,Tomato sandwich,189.92,6.26,9.39,21.29,indb,0.9,tomato sandwich,155.0
4,French sandwich,186.75,6.82,11.51,14.82,indb,0.9,french sandwich,139.0
5,Peanut butter cucumber sandwich,243.33,9.04,10.56,29.76,indb,0.9,peanut butter cucumber sandwich,93.0
6,Mint and peanut sandwich,273.59,7.18,13.88,31.83,indb,0.9,mint and peanut sandwich,56.699
7,Spicy chutney sandwich,249.58,8.74,9.58,34.03,indb,0.9,spicy chutney sandwich,56.0
8,Chicken walnut sandwich,285.78,12.58,16.77,22.62,indb,0.9,chicken walnut sandwich,249.0
9,Rolled sandwich,293.07,6.45,15.29,34.69,indb,0.9,rolled sandwich,150.0
10,Ribbon sandwich,239.26,6.26,13.37,24.76,indb,0.9,ribbon sandwich,54.0
11,Checker board sandwich,348.37,7.37,24.65,25.94,indb,0.9,checker board sandwich,200.0
12,Submarine sandwich,216.92,6.09,15.32,13.6,indb,0.9,submarine sandwich,170.1
13,Cheese open sandwich,274.07,9.84,14.24,28.42,indb,0.9,cheese open sandwich,100.0
14,Sunset and sunrise open sandwich,241.31,8.58,15.14,18.89,indb,0.9,sunset and sunrise open sandwich,144.0
15,Danish luncheon sandwich,193.82,9.03,10.1,17.77,indb,0.9,danish luncheon sandwich,150.0
16,Chicken and corn open sandwich,188.16,8.63,8.83,19.21,indb,0.9,chicken and corn open sandwich,150.0
17,Chocolate sponge cake,239.86,9.13,5.51,39.54,indb,0.9,chocolate sponge cake,66.0
18,Chocolate swiss roll,306.08,6.01,19.76,26.97,indb,0.9,chocolate swiss roll,64.0
19,Lemon curd filling,225.62,3.43,12.58,26.41,indb,0.9,lemon curd filling,15.0
20,Jam filling,184.62,0.0,0.0,46.15,indb,0.9,jam filling,20.0
21,Chocolate pastry,243.37,7.05,10.12,32.24,indb,0.9,chocolate pastry,100.0
22,Assorted pastry,230.74,6.78,8.91,31.99,indb,0.9,assorted pastry,50.0
23,Orange gateau,178.05,4.78,6.02,27.01,indb,0.9,orange gateau,102.0
24,Black forest gateau,217.82,5.94,8.58,30.57,indb,0.9,black forest gateau,78.0
